sale_date,direction,gain_rev,gain_rgm,units
2026-07-01,decreased,2149.1159999999995,4318.137711473544,2871
2026-07-01,flat,-2636.861999999997,-9332.925750312295,36389
2026-07-01,increased,257237.468,253200.95026643525,54643
2026-07-02,decreased,-33296.257,-33064.97515444502,3451
2026-07-02,flat,-8775.936000000002,-7209.255297163923,42826
2026-07-02,increased,343431.97750000004,338700.14030633663,64786
2026-07-03,decreased,-34140.8425,-32346.856005530306,3197
2026-07-03,flat,-8594.884499999998,-21760.712360215482,37408
2026-07-03,increased,300671.206,290942.05194314965,56737
2026-07-04,decreased,-28818.484999999997,-25070.78194154647,2653
2026-07-04,flat,-7740.2125000000015,-11960.980461701836,33556
2026-07-04,increased,264641.4545,261138.51846653258,50111
2026-07-05,decreased,-22879.407999999996,-21222.801963037222,2517
2026-07-05,flat,-8173.1255,-5641.752211841114,31147
2026-07-05,increased,257998.93300000002,249775.53054866043,49815
2026-07-06,decreased,-32176.673999999995,-29117.630391296607,2702
2026-07-06,flat,-17695.0686,-15742.03878455895,34584
2026-07-06,increased,282870.0825,274331.0451052469,53062
2026-07-07,decreased,-108562.186,-105014.56970470853,3282
2026-07-07,flat,-10271.876499999995,-15887.952471646573,36599
2026-07-07,increased,303102.219,288843.27360357996,56125
2026-07-08,decreased,-40095.659499999994,-37414.70336859286,3812
2026-07-08,flat,1597.2375000000015,-1198.1998283976027,38589
2026-07-08,increased,321351.7125,314196.31773798267,60515
2026-07-09,decreased,-40182.8012,-36676.977766297474,3659
2026-07-09,flat,-6473.538600000002,-5799.634290384678,40560
2026-07-09,increased,329244.6537,319163.1696711584,62233
2026-07-10,decreased,-43243.8345,-39069.21051246916,3897
2026-07-10,flat,-17581.172400000007,-19669.928257936703,37060
2026-07-10,increased,319201.6089,309447.3476035629,59981
2026-07-11,decreased,-82093.1926,-76841.86723028592,3671
2026-07-11,flat,-5143.886900000001,-8101.163635115478,36845
2026-07-11,increased,301890.8948,287951.31274412613,56246
2026-07-12,decreased,-34798.689999999995,-30486.880117767898,3245
2026-07-12,flat,3709.476,-7677.087436933854,30917
2026-07-12,increased,254029.18980000002,244775.06203527044,48710
2026-07-13,decreased,-39319.604999999996,-35299.23507428008,3624
2026-07-13,flat,-10211.262999999997,-15752.374717916884,37939
2026-07-13,increased,310335.1892,301361.7622647559,57653
2026-07-14,decreased,-37308.522,-34947.027155055635,3470
2026-07-14,flat,-4373.790200000001,-9330.692082084177,36650
2026-07-14,increased,291836.5002,281739.07354189013,54967
2026-07-15,decreased,-36448.863099999995,-33435.20823174275,3377
2026-07-15,flat,-5421.5504999999985,-10152.815614085765,34106
2026-07-15,increased,274816.3403,263095.0495120156,51483
2026-07-16,decreased,-36316.218799999995,-35657.21695596305,3240
2026-07-16,flat,6200.892499999997,-8164.65205615373,32801
2026-07-16,increased,262262.7572,251133.28769377412,48979
2026-07-17,decreased,-36370.977,-34436.772397836656,3300
2026-07-17,flat,-13898.875300000005,-29984.55910091864,33067
2026-07-17,increased,271346.1334,257922.4694572632,49911
2026-07-18,decreased,-34518.6647,-34180.32856675813,3360
2026-07-18,flat,-7913.098599999997,-11923.888785679066,30795
2026-07-18,increased,256828.2042,244793.4732279572,46834
2026-07-19,decreased,-35825.0995,-34981.48441502933,2783
2026-07-19,flat,-10681.42289999999,-19984.927938380257,29654
2026-07-19,increased,239948.04880000002,230310.75119731686,45508
2026-07-20,decreased,-37507.7936,-33829.18372202879,3114
2026-07-20,flat,2998.6782000000003,-13324.364737870623,33897
2026-07-20,increased,272970.1803,258590.69539874993,51059
2026-07-21,decreased,-38758.665,-36578.0817015407,3405
2026-07-21,flat,10185.289000000002,-6228.245704514592,33951
2026-07-21,increased,283712.5859,271993.1902160548,52335
2026-07-22,decreased,-32125.065199999997,-30170.097398300382,2707
2026-07-22,flat,7608.434199999998,-6230.446282699454,30057
2026-07-22,increased,258786.3873,240536.96575843857,47224
