sale_date,store_name,pilot,direction,gain_rev,gain_rgm
2026-07-01,7 Rasta Byculla,0,decreased,210.8,213.20139106090141
2026-07-01,7 Rasta Byculla,0,flat,-24.829999999999963,-43.47210881825034
2026-07-01,7 Rasta Byculla,0,increased,1425.71,1416.1279935653156
2026-07-01,Airoli,0,decreased,9.580000000000005,48.055233576135024
2026-07-01,Airoli,0,flat,-208.49000000000007,-252.303909226138
2026-07-01,Airoli,0,increased,4176.85,3919.1156870947416
2026-07-01,Airoli Sector - 3,0,decreased,151.0,151.1372586728909
2026-07-01,Airoli Sector - 3,0,flat,-190.33999999999986,-194.09968768642622
2026-07-01,Airoli Sector - 3,0,increased,1782.91,1731.5454967034743
2026-07-01,Ambegaon Pune,0,decreased,24.28,24.292206297187285
2026-07-01,Ambegaon Pune,0,flat,-58.27999999999998,-20.83889968568195
2026-07-01,Ambegaon Pune,0,increased,728.17,735.6513926132584
2026-07-01,Ambernath East,0,decreased,27.0,1.1787795729695958
2026-07-01,Ambernath East,0,flat,-193.2799999999999,-9.85272025841919
2026-07-01,Ambernath East,0,increased,1610.22,1608.4669024163352
2026-07-01,Ambernath West,0,decreased,52.06,18.005505244544736
2026-07-01,Ambernath West,0,flat,-52.7300000000002,-132.0504494684827
2026-07-01,Ambernath West,0,increased,1314.91,1303.3027264611164
2026-07-01,Ashokvan Dahisar,0,decreased,162.0,180.06899254037896
2026-07-01,Ashokvan Dahisar,0,flat,117.11000000000023,-4.104015644116597
2026-07-01,Ashokvan Dahisar,0,increased,1034.85,1020.26176810368
2026-07-01,Badlapur - Belavali,0,decreased,115.0,118.09608526161982
2026-07-01,Badlapur - Belavali,0,flat,512.2500000000002,-273.78869171155907
2026-07-01,Badlapur - Belavali,0,increased,1360.3,1290.66940996616
2026-07-01,Badlapur East,0,decreased,-10.199999999999989,-1.414676602712973
2026-07-01,Badlapur East,0,flat,278.16000000000014,-372.5402195480472
2026-07-01,Badlapur East,0,increased,549.9399999999999,763.9439768006996
2026-07-01,Bandra,1,decreased,44.76000000000005,92.17597042065725
2026-07-01,Bandra,1,flat,-0.4100000000001174,55.27985758578998
2026-07-01,Bandra,1,increased,1973.31,1914.911045186343
2026-07-01,Bhandup West,0,decreased,40.3,54.65451412466493
2026-07-01,Bhandup West,0,flat,-146.34000000000017,-300.07546301444467
2026-07-01,Bhandup West,0,increased,1773.68,1779.2320900340949
2026-07-01,Bhayandar,0,decreased,118.97,128.60336647767713
2026-07-01,Bhayandar,0,flat,-39.8899999999999,-46.456513148880894
2026-07-01,Bhayandar,0,increased,1786.22,1764.2666760422485
2026-07-01,Bhayander 60 Feet Road,0,decreased,15.97999999999999,13.126154701574173
2026-07-01,Bhayander 60 Feet Road,0,flat,-216.93000000000012,-208.72037219082586
2026-07-01,Bhayander 60 Feet Road,0,increased,585.1100000000001,553.7205345582855
2026-07-01,Bhekrainagar Pune,0,decreased,-35.24000000000001,31.45769751985634
2026-07-01,Bhekrainagar Pune,0,flat,-34.21000000000006,54.78724449367304
2026-07-01,Bhekrainagar Pune,0,increased,1212.6200000000001,1018.2409775213653
2026-07-01,Bhiwandi - Shivaji Chowk,0,decreased,65.0,68.95304427359498
2026-07-01,Bhiwandi - Shivaji Chowk,0,flat,-63.54000000000002,-112.90929799107133
2026-07-01,Bhiwandi - Shivaji Chowk,0,increased,232.75000000000003,222.58989511662622
2026-07-01,Bhiwandi Dhamankar Naka,1,decreased,20.61,20.6200974230581
