store_name,pilot,drug_id,drug_name,units,bills,giveback
Airoli,0,74479,Alkof DX Syrup 100ml,1,1,0.0
Airoli,0,402516,Oral L Tablet 21s,1,1,0.0
Airoli,0,487534,Goodvastatin AV 75/10mg Capsule 15s-Gaid,2,1,0.0
Airoli,0,487581,Gliaid MV 2.2mg SR Tablet 10s-Gaid,3,1,0.0
Airoli,0,487748,Predipine 5mg Tablet 10s-Gaid,4,1,0.0
Airoli,0,487954,Predipine AT Tablet  10s-Gaid,3,1,0.0
Airoli,0,488160,Goodpara 650mg Tablet 10s-Gaid,1,1,0.0
Airoli,0,488164,Terbigood 250mg Tablet 7s-Gaid,1,1,0.0
Airoli,0,488231,Goodsartan H 20mg Tablet 10s-Gaid,3,1,0.0
Airoli,0,488831,Goodsartan AM 20mg Tablet 10s-Gaid,3,1,0.0
Airoli,0,489311,Aidsartan 80mg Tablet 10s-Gaid,3,1,0.0
Airoli,0,493563,Thyrogood 25mcg Tablet 120s-Gaid,1,1,0.0
Airoli,0,494938,Goodazosin XL 2.5mg Tablet 15s-Gaid,2,1,0.0
Airoli,0,497672,Rovasaid Gold 20mg Capsule 10s-Gaid,1,1,0.0
Airoli,0,502936,Aidluzole Lotion 30ml-Gaid,1,1,0.0
Airoli,0,502940,Electroaid Sachet 21.8gm-Gaid,4,1,0.0
Airoli Sector - 3,0,487581,Gliaid MV 2.2mg SR Tablet 10s-Gaid,3,1,0.0
Badlapur East,0,487502,Gliaid M1mg PR Tablet 10s-Gaid,3,1,0.0
Badlapur East,0,487519,Goodtrexate 5mg Tablet 10s-Gaid,3,1,0.0
Badlapur East,0,487532,Racetamaid 500mg Tablet 10s-Gaid,6,1,0.0
Badlapur East,0,487581,Gliaid MV 2.2mg SR Tablet 10s-Gaid,6,1,0.0
Badlapur East,0,488830,Aidgliflozin 5mg Tablet 10s-Gaid,3,1,0.0
Badlapur East,0,491527,Goodolol XL AM 50mg Tablet 10s-Gaid,3,1,0.0
Badlapur East,0,499025,Vidasmart D 5mg SR Tablet 10s,3,1,0.0
Badlapur East,0,502494,Aidten M 500mg Tablet 10s-Gaid,3,1,0.0
Chembur,0,60217,Alphagan Z Eye Drop 5ml,1,1,0.0
Chembur,0,60563,Latocom Eye Drop 2.5ml,1,1,0.0
Chembur,0,74659,Dytor 5mg Tablet 15s,1,1,0.0
Chembur,0,75407,Ecosprin 75mg Tablet 14s,3,1,0.0
Chembur,0,199855,Prazopress XL 5mg Tablet 30s,1,1,0.0
Chembur,0,207221,Telmikind Beta 25mg Tablet 10s,3,1,0.0
Chembur,0,341275,Temsan 40mg Tablet 15s,3,1,0.0
Chembur,0,419586,Aquim PF Eye Drop 10ml,1,1,0.0
Chembur,0,487503,Gliaid M2mg PR Tablet 10s-Gaid,3,1,0.0
Chembur,0,487586,Gliboseaid 0.3mg Tablet 10s-Gaid,3,1,0.0
Chembur,0,488162,Goodgab 75mg Capsule 10s-Gaid,2,1,0.0
Chembur,0,494210,Sildogood D 8mg Capsule 10s-Gaid,3,1,0.0
Chembur,0,502074,Aidten 20mg Tablet 10s-Gaid,3,1,0.0
Dahisar,0,488134,Goodmycin 500mg Tablet 5s-Gaid,1,1,0.0
Dahisar,0,488697,Eplerenol 50mg Tablet 10s,2,2,0.0
Dahisar,0,488850,Gliclagood M 60mg ER Tablet 10s-Gaid,2,2,0.0
Dahisar,0,491797,Aidgliflozin M 500mg ER Tablet 10s-Gaid,2,2,0.0
Dahisar,0,497672,Rovasaid Gold 20mg Capsule 10s-Gaid,2,2,0.0
Govandi,0,83441,Evion LC Tablet 10s,2,2,0.0
Govandi,0,487585,Goodvitamin D3 60K Capsule 4 Cap-Gaid,1,1,0.0
Govandi,0,501451,Orthojoint Rose Tablet 10s,2,1,0.0
Hiranandani Thane,0,160605,Lipaglyn Tablet 10s,2,1,0.0
Hiranandani Thane,0,394953,Clocip Powder 100gm,1,1,0.0
Hiranandani Thane,0,399209,Hydronol 25mg Tablet 10s,3,2,0.0
Hiranandani Thane,0,400685,Humalog 100iu/ml Cartridge 3ml,1,1,0.0
Hiranandani Thane,0,414643,Diovaal 160mg Tablet 10s,3,1,0.0
Hiranandani Thane,0,414646,Diovaal 80mg Tablet 10s,2,1,0.0
Hiranandani Thane,0,487506,Gliclagood M 80mg Tablet 10s-Gaid,10,1,0.0
Hiranandani Thane,0,500902,Rovasaid 10mg Tablet 10s-Gaid,2,1,0.0
Hiranandani Thane,0,523907,Empaaid L 25/5mg Tablet 10s-Gaid,3,1,0.0
Jagruti Nagar Ghatkopar,0,37009,Alograce Cream 50gm,1,1,0.0
Jagruti Nagar Ghatkopar,0,410510,Reepag 1mg Tablet 10s,1,1,0.0
Jagruti Nagar Ghatkopar,0,485227,Dettol Antiseptic Liquid 125ml,1,1,0.0
Jagruti Nagar Ghatkopar,0,487520,Glibenaid M 500mg Tablet 10s-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,487585,Goodvitamin D3 60K Capsule 4 Cap-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,488142,Esopraid 40mg Tablet 10s-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,489358,Aidsartan Beta 25mg PR Tablet 10s-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,490233,Goodgab NTM SR Tablet 10s-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,491515,Gliboseaid R 0.3/1mg Tablet 10s-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,496214,Goodgliptin D Tablet 10s-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,504824,Maxiaid Capsule 10s-Gaid,1,1,0.0
Jagruti Nagar Ghatkopar,0,506176,Ambristar 5mg Tablet 10s,2,1,0.0
Jagruti Nagar Ghatkopar,0,575665,Cardiax 20mg Tablet 15s,1,1,0.0
Khar West,1,75407,Ecosprin 75mg Tablet 14s,8,1,0.0
Khar West,1,385075,Rami Race 2.5mg Tablet 10s,9,1,0.0
Khar West,1,487509,Goodprazole 40mg Tablet 10s-Gaid,10,1,0.0
Khar West,1,488858,Aidgrel 90mg Tablet 14s-Gaid,15,1,0.0
Khar West,1,491833,Sitagliaid M 1000mg Tablet 15s-Gaid,12,1,0.0
Khar West,1,494929,Rovasaid 40mg Tablet 10s-Gaid,9,1,0.0
Khar West,1,523904,Empaaid 10mg Tablet 10s-Gaid,9,1,0.0
Mulund Panch Rasta,0,247721,Nicip Plus 100/325mg Tablet 10s,1,1,0.0
Mulund Panch Rasta,0,430875,Solinex Ear Drop 10ml,1,1,0.0
Mulund Panch Rasta,0,499677,Ambroaid LS Syrup 100ml-Gaid,1,1,0.0
Nerul West,0,494931,Azosinaid D  ER Tablet 15s-Gaid,2,1,0.0
Tilaknagar,0,75407,Ecosprin 75mg Tablet 14s,2,1,0.0
Tilaknagar,0,487508,Goodgliptin M 500mg Tablet 10s-Gaid,10,1,0.0
Tilaknagar,0,487584,Aidsartan 40mg Tablet 10s-Gaid,3,1,0.0
Tilaknagar,0,487585,Goodvitamin D3 60K Capsule 4 Cap-Gaid,2,1,0.0
Tilaknagar,0,491797,Aidgliflozin M 500mg ER Tablet 10s-Gaid,3,1,0.0
