window,store_name,pilot,segment,units
pre,7 Rasta Byculla,0,Ethical,2898
pre,7 Rasta Byculla,0,GA,6122
pre,7 Rasta Byculla,0,NGA,1363
pre,7 Rasta Byculla,0,Other,3628
pre,Airoli,0,Ethical,6255
pre,Airoli,0,GA,12306
pre,Airoli,0,NGA,3348
pre,Airoli,0,Other,4101
pre,Airoli Sec 5,0,Ethical,2517
pre,Airoli Sec 5,0,GA,2992
pre,Airoli Sec 5,0,NGA,811
pre,Airoli Sec 5,0,Other,2186
pre,Airoli Sector - 3,0,Ethical,4257
pre,Airoli Sector - 3,0,GA,7147
pre,Airoli Sector - 3,0,NGA,1844
pre,Airoli Sector - 3,0,Other,3814
pre,Ambegaon Pune,0,Ethical,2318
pre,Ambegaon Pune,0,GA,2916
pre,Ambegaon Pune,0,NGA,505
pre,Ambegaon Pune,0,Other,1724
pre,Ambernath East,0,Ethical,3824
pre,Ambernath East,0,GA,4171
pre,Ambernath East,0,NGA,909
pre,Ambernath East,0,Other,1508
pre,Ambernath West,0,Ethical,4297
pre,Ambernath West,0,GA,5470
pre,Ambernath West,0,NGA,900
pre,Ambernath West,0,Other,1602
pre,Ashokvan Dahisar,0,Ethical,3439
pre,Ashokvan Dahisar,0,GA,7215
pre,Ashokvan Dahisar,0,NGA,1487
pre,Ashokvan Dahisar,0,Other,3071
pre,Badlapur - Belavali,0,Ethical,1583
pre,Badlapur - Belavali,0,GA,3588
pre,Badlapur - Belavali,0,NGA,915
pre,Badlapur - Belavali,0,Other,3342
pre,Badlapur East,0,Ethical,2849
pre,Badlapur East,0,GA,3959
pre,Badlapur East,0,NGA,781
pre,Badlapur East,0,Other,1158
pre,Bandra,1,Ethical,4826
pre,Bandra,1,GA,11323
pre,Bandra,1,NGA,2697
pre,Bandra,1,Other,4205
pre,Bhandup West,0,Ethical,6065
pre,Bhandup West,0,GA,10561
pre,Bhandup West,0,NGA,2250
pre,Bhandup West,0,Other,3089
pre,Bhayandar,0,Ethical,5195
pre,Bhayandar,0,GA,8080
pre,Bhayandar,0,NGA,2083
pre,Bhayandar,0,Other,3335
pre,Bhayander 60 Feet Road,0,Ethical,3228
pre,Bhayander 60 Feet Road,0,GA,3909
pre,Bhayander 60 Feet Road,0,NGA,920
pre,Bhayander 60 Feet Road,0,Other,1923
pre,Bhekrainagar Pune,0,Ethical,2132
pre,Bhekrainagar Pune,0,GA,3173
pre,Bhekrainagar Pune,0,NGA,593
pre,Bhekrainagar Pune,0,Other,1294
pre,Bhiwandi - Shivaji Chowk,0,Ethical,1083
pre,Bhiwandi - Shivaji Chowk,0,GA,1343
pre,Bhiwandi - Shivaji Chowk,0,NGA,432
pre,Bhiwandi - Shivaji Chowk,0,Other,2535
pre,Bhiwandi Dhamankar Naka,1,Ethical,4165
pre,Bhiwandi Dhamankar Naka,1,GA,8154
pre,Bhiwandi Dhamankar Naka,1,NGA,1996
pre,Bhiwandi Dhamankar Naka,1,Other,2944
pre,Bibwewadi Pune,0,Ethical,2646
pre,Bibwewadi Pune,0,GA,9624
pre,Bibwewadi Pune,0,NGA,793
pre,Bibwewadi Pune,0,Other,1259
pre,Bytco Point Nashik,0,Ethical,3123
pre,Bytco Point Nashik,0,GA,2999
pre,Bytco Point Nashik,0,NGA,832
pre,Bytco Point Nashik,0,Other,2269
pre,CST Bora Bazaar,0,Ethical,2076
pre,CST Bora Bazaar,0,GA,5050
pre,CST Bora Bazaar,0,NGA,1225
pre,CST Bora Bazaar,0,Other,2648
pre,Canada Corner Nashik,0,Ethical,525
pre,Canada Corner Nashik,0,GA,671
pre,Canada Corner Nashik,0,NGA,181
pre,Canada Corner Nashik,0,Other,438
pre,Chandivali,0,Ethical,2029
pre,Chandivali,0,GA,4465
pre,Chandivali,0,NGA,1150
pre,Chandivali,0,Other,2270
pre,Charkop,0,Ethical,5471
pre,Charkop,0,GA,10277
pre,Charkop,0,NGA,2635
pre,Charkop,0,Other,2820
pre,Chembur,0,Ethical,6072
pre,Chembur,0,GA,16667
pre,Chembur,0,NGA,3752
pre,Chembur,0,Other,4088
pre,Chinchwad,1,Ethical,2668
pre,Chinchwad,1,GA,3612
pre,Chinchwad,1,NGA,1005
pre,Chinchwad,1,Other,3282
pre,Chinchwad - Gandhi Peth,1,Ethical,1051
pre,Chinchwad - Gandhi Peth,1,GA,1011
pre,Chinchwad - Gandhi Peth,1,NGA,262
pre,Chinchwad - Gandhi Peth,1,Other,1257
pre,Cidco Nashik,0,Ethical,1849
pre,Cidco Nashik,0,GA,2287
pre,Cidco Nashik,0,NGA,375
pre,Cidco Nashik,0,Other,1891
pre,Colaba,1,Ethical,1956
pre,Colaba,1,GA,4630
pre,Colaba,1,NGA,908
pre,Colaba,1,Other,2819
pre,Dadar East,0,Ethical,2851
pre,Dadar East,0,GA,5284
pre,Dadar East,0,NGA,1415
pre,Dadar East,0,Other,2554
pre,Dahisar,0,Ethical,4202
pre,Dahisar,0,GA,8213
pre,Dahisar,0,NGA,1819
pre,Dahisar,0,Other,2525
pre,Dattnagar,0,Ethical,2106
pre,Dattnagar,0,GA,6074
pre,Dattnagar,0,NGA,833
pre,Dattnagar,0,Other,1451
pre,Dhanakwadi,0,Ethical,3553
pre,Dhanakwadi,0,GA,5816
pre,Dhanakwadi,0,NGA,1273
pre,Dhanakwadi,0,Other,3058
pre,Dhanori Pune,0,Ethical,2772
pre,Dhanori Pune,0,GA,4258
pre,Dhanori Pune,0,NGA,909
pre,Dhanori Pune,0,Other,1480
pre,Dhayari Pune,0,Ethical,2357
pre,Dhayari Pune,0,GA,4140
pre,Dhayari Pune,0,NGA,716
pre,Dhayari Pune,0,Other,1577
pre,Dighi Pune,1,Ethical,1632
pre,Dighi Pune,1,GA,2351
pre,Dighi Pune,1,NGA,420
pre,Dighi Pune,1,Other,995
pre,Dombivali,0,Ethical,4485
pre,Dombivali,0,GA,8011
pre,Dombivali,0,NGA,2056
pre,Dombivali,0,Other,2165
pre,Dombivali - Navpada,0,Ethical,2152
pre,Dombivali - Navpada,0,GA,3136
pre,Dombivali - Navpada,0,NGA,813
pre,Dombivali - Navpada,0,Other,2661
pre,Dombivali - Reti Bunder,0,Ethical,1717
pre,Dombivali - Reti Bunder,0,GA,2584
pre,Dombivali - Reti Bunder,0,NGA,488
pre,Dombivali - Reti Bunder,0,Other,2203
pre,Dombivli West,0,Ethical,5317
pre,Dombivli West,0,GA,12024
pre,Dombivli West,0,NGA,2953
pre,Dombivli West,0,Other,3671
pre,Evershine Nagar,0,Ethical,2376
pre,Evershine Nagar,0,GA,5007
pre,Evershine Nagar,0,NGA,1420
pre,Evershine Nagar,0,Other,1580
pre,Fam Society - Koperkhairne,0,Ethical,5733
pre,Fam Society - Koperkhairne,0,GA,8145
pre,Fam Society - Koperkhairne,0,NGA,2329
pre,Fam Society - Koperkhairne,0,Other,5059
pre,Fursungi Pune,0,Ethical,2228
pre,Fursungi Pune,0,GA,2955
pre,Fursungi Pune,0,NGA,784
pre,Fursungi Pune,0,Other,2818
pre,Ghansoli,0,Ethical,7493
pre,Ghansoli,0,GA,11854
pre,Ghansoli,0,NGA,3159
pre,Ghansoli,0,Other,5080
pre,Ghatkopar East,0,Ethical,4720
pre,Ghatkopar East,0,GA,7529
pre,Ghatkopar East,0,NGA,1876
pre,Ghatkopar East,0,Other,5588
pre,Ghatkopar West,0,Ethical,4323
pre,Ghatkopar West,0,GA,7695
pre,Ghatkopar West,0,NGA,2032
pre,Ghatkopar West,0,Other,2925
pre,Ghodapdeo - Byculla,0,Ethical,1652
pre,Ghodapdeo - Byculla,0,GA,5001
pre,Ghodapdeo - Byculla,0,NGA,1269
pre,Ghodapdeo - Byculla,0,Other,1503
pre,Global City Virar West,0,Ethical,2602
pre,Global City Virar West,0,GA,3711
pre,Global City Virar West,0,NGA,810
pre,Global City Virar West,0,Other,3216
pre,Goregaon,1,Ethical,4628
pre,Goregaon,1,GA,10721
pre,Goregaon,1,NGA,3178
pre,Goregaon,1,Other,2548
pre,Goregaon West S.V. Road,1,Ethical,4894
pre,Goregaon West S.V. Road,1,GA,7227
pre,Goregaon West S.V. Road,1,NGA,1835
pre,Goregaon West S.V. Road,1,Other,3241
pre,Govandi,0,Ethical,5401
pre,Govandi,0,GA,12762
pre,Govandi,0,NGA,2857
pre,Govandi,0,Other,4138
pre,Gujrat Colony Kothrud,0,Ethical,1747
pre,Gujrat Colony Kothrud,0,GA,2630
pre,Gujrat Colony Kothrud,0,NGA,536
pre,Gujrat Colony Kothrud,0,Other,978
pre,Gulab Nagar Pune,0,Ethical,2386
pre,Gulab Nagar Pune,0,GA,4016
pre,Gulab Nagar Pune,0,NGA,723
pre,Gulab Nagar Pune,0,Other,1867
pre,Hari Om Nagar,0,Ethical,4276
pre,Hari Om Nagar,0,GA,6556
pre,Hari Om Nagar,0,NGA,1689
pre,Hari Om Nagar,0,Other,4297
pre,Hiltron Ulhasnagar,0,Ethical,2379
pre,Hiltron Ulhasnagar,0,GA,3976
pre,Hiltron Ulhasnagar,0,NGA,970
pre,Hiltron Ulhasnagar,0,Other,2901
pre,Hiranandani Thane,0,Ethical,8135
pre,Hiranandani Thane,0,GA,11761
pre,Hiranandani Thane,0,NGA,2333
pre,Hiranandani Thane,0,Other,4459
pre,IC Colony Borivali,0,Ethical,6770
pre,IC Colony Borivali,0,GA,12030
pre,IC Colony Borivali,0,NGA,3310
pre,IC Colony Borivali,0,Other,4325
pre,JB Nagar,0,Ethical,8673
pre,JB Nagar,0,GA,14256
pre,JB Nagar,0,NGA,3543
pre,JB Nagar,0,Other,6285
pre,JJ Hospital,0,Ethical,3293
pre,JJ Hospital,0,GA,14125
pre,JJ Hospital,0,NGA,3617
pre,JJ Hospital,0,Other,3142
pre,Jagruti Nagar Ghatkopar,0,Ethical,2329
pre,Jagruti Nagar Ghatkopar,0,GA,3917
pre,Jagruti Nagar Ghatkopar,0,NGA,1092
pre,Jagruti Nagar Ghatkopar,0,Other,2403
pre,Jail Road Nashik,0,Ethical,2231
pre,Jail Road Nashik,0,GA,2118
pre,Jail Road Nashik,0,NGA,523
pre,Jail Road Nashik,0,Other,1560
pre,Jay VIjay Nagar Nalasopara East,0,Ethical,2149
pre,Jay VIjay Nagar Nalasopara East,0,GA,3400
pre,Jay VIjay Nagar Nalasopara East,0,NGA,638
pre,Jay VIjay Nagar Nalasopara East,0,Other,1559
pre,Kalamboli,0,Ethical,3142
pre,Kalamboli,0,GA,5283
pre,Kalamboli,0,NGA,1376
pre,Kalamboli,0,Other,2256
pre,Kalher Bhiwandi,0,Ethical,4251
pre,Kalher Bhiwandi,0,GA,7212
pre,Kalher Bhiwandi,0,NGA,1748
pre,Kalher Bhiwandi,0,Other,5179
pre,Kalina,0,Ethical,3523
pre,Kalina,0,GA,5596
pre,Kalina,0,NGA,1470
pre,Kalina,0,Other,2319
pre,Kalwa,0,Ethical,7823
pre,Kalwa,0,GA,15727
pre,Kalwa,0,NGA,3824
pre,Kalwa,0,Other,4871
pre,Kalyan,0,Ethical,3650
pre,Kalyan,0,GA,6166
pre,Kalyan,0,NGA,1607
pre,Kalyan,0,Other,2519
pre,Kalyan - DB Chowk,0,Ethical,2203
pre,Kalyan - DB Chowk,0,GA,3202
pre,Kalyan - DB Chowk,0,NGA,721
pre,Kalyan - DB Chowk,0,Other,2446
pre,Kalyan East-Tisgaon Naka,0,Ethical,3938
pre,Kalyan East-Tisgaon Naka,0,GA,6519
pre,Kalyan East-Tisgaon Naka,0,NGA,1337
pre,Kalyan East-Tisgaon Naka,0,Other,2117
pre,Kalyan West Club Road,0,Ethical,2085
pre,Kalyan West Club Road,0,GA,5244
pre,Kalyan West Club Road,0,NGA,1178
pre,Kalyan West Club Road,0,Other,2152
pre,Kamotha,0,Ethical,7687
pre,Kamotha,0,GA,10901
pre,Kamotha,0,NGA,2791
pre,Kamotha,0,Other,4853
pre,Kamothe - Sector 36,0,Ethical,3037
pre,Kamothe - Sector 36,0,GA,4175
pre,Kamothe - Sector 36,0,NGA,1135
pre,Kamothe - Sector 36,0,Other,2361
pre,Kandivali East,0,Ethical,3744
pre,Kandivali East,0,GA,7477
pre,Kandivali East,0,NGA,1806
pre,Kandivali East,0,Other,2497
pre,Kandivali West,0,Ethical,946
pre,Kandivali West,0,GA,4303
pre,Kandivali West,0,NGA,1108
pre,Kandivali West,0,Other,971
pre,Kasarvadavali Thane,0,Ethical,2924
pre,Kasarvadavali Thane,0,GA,5551
pre,Kasarvadavali Thane,0,NGA,1414
pre,Kasarvadavali Thane,0,Other,2698
pre,Katrap Badlapur East,0,Ethical,1385
pre,Katrap Badlapur East,0,GA,2657
pre,Katrap Badlapur East,0,NGA,329
pre,Katrap Badlapur East,0,Other,1713
pre,Khadki Pune,0,Ethical,2969
pre,Khadki Pune,0,GA,4168
pre,Khadki Pune,0,NGA,1031
pre,Khadki Pune,0,Other,3037
pre,Khanda Colony,1,Ethical,4006
pre,Khanda Colony,1,GA,5563
pre,Khanda Colony,1,NGA,1681
pre,Khanda Colony,1,Other,2404
pre,Khar West,1,Ethical,3641
pre,Khar West,1,GA,6860
pre,Khar West,1,NGA,2075
pre,Khar West,1,Other,2692
pre,Kharghar,0,Ethical,4734
pre,Kharghar,0,GA,13204
pre,Kharghar,0,NGA,3368
pre,Kharghar,0,Other,4155
pre,Kharghar Sector 12,0,Ethical,3011
pre,Kharghar Sector 12,0,GA,6427
pre,Kharghar Sector 12,0,NGA,1863
pre,Kharghar Sector 12,0,Other,2103
pre,Khopat,0,Ethical,6390
pre,Khopat,0,GA,12648
pre,Khopat,0,NGA,2791
pre,Khopat,0,Other,3352
pre,Khutwad Nagar Nashik,0,Ethical,952
pre,Khutwad Nagar Nashik,0,GA,1051
pre,Khutwad Nagar Nashik,0,NGA,198
pre,Khutwad Nagar Nashik,0,Other,1030
