drug_id,old_selling_price
511,87.66
605,291.68
935,45.85
1087,244.12
1237,88.17
1293,110.81
1751,41.44
2477,60.52
3317,126.0
3695,137.51
4659,108.85
5003,40.69
5769,40.45
6705,126.22
7151,442.0
13419,43.75
15017,119.94
16071,184.88
16369,203.19
16853,114.35
17039,47.25
19435,500.5
20845,60.95
24263,691.02
24733,505.15
24907,178.5
25009,312.0
25029,45.26
25151,328.32
26837,699.49
27229,21.36
28873,116.88
29009,155.4
29031,256.91
29105,433.5
31559,101.11
31917,113.95
31927,18.4
32067,478.13
32461,350.62
36873,691.88
36979,294.85
37017,143.0
37047,295.63
37263,128.02
37579,330.0
37651,23.71
39383,31.01
39551,37.8
42295,366.61
45745,252.96
45815,204.13
45829,136.59
46799,166.71
47031,99.17
47791,1540.75
49835,201.48
49907,59.4
50031,110.97
50053,107.81
50173,191.25
53523,33.07
59905,448.64
60175,88.06
60185,38.02
60241,113.95
60285,235.08
60305,265.71
60309,84.15
60355,219.94
60905,156.54
61411,52.3
66927,376.92
69831,49.4
69845,73.86
69849,56.82
71171,144.46
73309,196.25
74661,232.85
74831,405.14
74885,127.14
75345,54.24
76427,79.31
76521,29.93
77571,33.47
80461,18.11
81399,527.85
81541,620.2
82419,209.58
82605,32.47
82747,62.0
86205,151.4
88355,347.44
88357,171.33
88635,148.75
88645,146.23
89983,297.5
90047,196.04
90081,233.49
90335,159.3
93113,227.63
93283,156.99
93667,184.18
95159,62.95
95221,266.39
95235,665.39
95251,447.2
95399,412.17
95421,91.24
95539,86.49
95597,110.0
95775,79.6
96063,222.7
96557,549.85
96581,631.12
96917,78.89
98757,192.05
99097,595.0
100049,134.1
101605,67.66
102917,577.74
103143,559.3
103175,156.99
103179,450.53
103287,74.25
103389,177.65
103391,218.15
103521,176.11
103605,132.6
105245,80.26
105365,342.0
107991,74.1
108043,151.4
108051,185.0
108083,104.03
108429,937.85
111177,268.66
111949,33.56
112051,42.67
112055,209.95
114049,170.54
115147,292.5
119461,174.68
119469,195.71
119691,121.13
120609,37.0
122903,2272.5
123163,1391.32
124069,39.04
125383,154.18
137375,604.49
142611,17.53
143021,293.95
143065,25.1
144111,1204.88
144631,108.77
144885,231.1
145203,74.11
146037,288.47
147357,8.75
148089,123.25
148941,51.0
152607,75.65
153197,16.73
155865,57.2
155877,117.84
156657,39.0
158145,171.05
158169,183.94
158461,108.37
159027,42.95
161835,44.55
162061,165.6
164775,453.9
166045,40.16
166431,105.47
166795,129.1
166943,169.34
171075,72.33
172399,82.29
173167,43.83
173431,282.89
173565,210.8
173609,76.19
174347,35.26
199567,306.85
199783,437.49
199887,552.5
199967,254.2
200017,64.39
200085,65.7
200115,451.04
200213,89.45
200573,76.72
200717,218.35
200741,116.74
201005,159.8
201153,90.05
201225,63.35
201267,63.75
201491,908.26
201573,227.6
201579,110.34
201655,155.39
201663,139.36
201735,196.04
202123,189.66
202569,164.16
202573,122.27
202621,23.78
202687,53.01
202735,159.38
202745,267.81
202807,243.19
202815,55.02
202907,32.22
203181,81.64
203459,129.89
203631,161.76
203657,55.66
203715,67.73
203775,368.5
203919,112.36
203931,118.35
204009,126.7
204031,109.97
204145,430.31
204415,262.27
204527,115.7
204775,83.35
204927,44.64
205583,310.79
205591,21.44
205879,143.44
206135,567.46
206237,217.61
206443,182.08
207333,515.18
207597,136.09
207601,188.02
207929,15.45
208009,108.38
209425,28.73
209743,195.47
210805,257.13
211909,60.53
213169,105.99
213429,145.83
214123,83.67
214249,14.07
214747,110.76
215951,29.22
216363,143.44
216537,84.38
217359,52.27
219741,26.95
220069,100.41
221011,32.0
223247,43.0
229851,257.55
230901,125.31
234731,142.88
235499,30.69
240713,40.29
244791,180.88
244893,236.22
247107,154.99
247229,133.88
247365,741.03
252015,185.0
252431,510.85
252477,163.77
255185,293.12
255705,127.58
256159,76.75
256167,47.12
263283,19.0
266145,258.52
137,182.7
183,199.41
203,30.05
245,130.47
427,55.28
459,113.4
463,188.38
639,182.28
765,352.97
1143,164.53
1829,39.36
2271,59.99
3835,125.3
4097,100.8
4223,244.77
5961,134.55
6213,50.84
13371,247.04
15113,72.01
15147,223.51
16391,475.01
17943,1371.42
18695,223.51
19453,490.08
20953,170.05
20975,89.25
21207,35.03
21507,62.44
24237,189.41
25095,51.69
25099,441.6
26773,38.49
26797,25.59
26801,19.98
27547,39.76
28857,599.6
29351,60.76
31859,45.01
31899,132.29
32033,46.61
32323,22.66
32357,114.54
36785,187.26
36807,42.3
36871,48.61
36993,331.42
37083,257.86
37179,47.74
37313,375.33
37631,21.81
38121,54.18
38163,427.13
38787,114.75
40915,61.71
42047,90.13
42701,247.23
43165,74.8
43977,155.8
44897,86.28
45759,147.42
50093,88.32
50725,115.55
57155,222.85
60613,111.59
60681,303.45
60795,195.44
60999,83.51
61801,82.88
69785,94.59
70073,76.5
71173,184.76
74617,133.19
74857,72.14
76545,28.35
79621,8.55
80703,371.37
81249,122.66
81255,52.7
82611,92.88
83459,61.2
88605,9.96
89947,142.63
90075,80.33
90529,42.5
91107,125.19
91997,92.83
93219,22.49
93279,118.33
95177,413.19
95255,219.38
95377,182.07
95455,151.63
96931,102.32
99615,408.0
99869,193.72
99977,144.53
100645,466.73
100651,225.0
101505,121.55
101529,176.0
102937,10.62
103009,105.83
103029,98.52
103547,88.81
103973,96.1
108615,7.09
108765,152.89
109047,4.66
109759,81.65
110167,324.27
111371,13.74
113431,59.76
115743,27.2
115851,195.41
118161,193.6
120249,154.18
122843,129.99
123101,755.96
130071,120.33
142533,42.89
143073,14.18
143279,117.92
143455,329.91
144883,328.52
146321,172.59
147391,243.0
147733,118.73
147785,117.79
152495,244.88
152619,219.14
152703,111.94
152889,133.08
152965,149.81
155641,198.91
155841,172.97
155869,44.97
156961,254.2
157663,456.97
158139,107.96
158151,323.88
158203,173.12
161331,93.13
161355,51.94
161409,69.28
161431,159.09
163325,25.0
166133,1296.12
167231,195.5
168101,150.15
168219,47.35
171403,291.85
172539,27.41
173583,141.64
173807,138.55
173899,174.46
199481,589.05
199777,553.83
200457,729.14
200533,567.0
200621,411.59
201241,115.54
201337,290.86
201525,123.94
201565,42.84
201601,16.24
201755,148.56
202045,52.9
202091,96.42
202317,157.58
202425,205.91
202563,59.97
203229,32.71
203311,47.3
203361,100.3
203393,127.74
203415,143.34
203795,569.53
203891,168.74
204089,201.61
204195,38.55
204439,34.0
204511,58.34
204817,154.85
205113,69.45
205235,14.28
206059,565.44
206303,612.85
206381,116.03
207221,115.7
207335,74.97
207571,47.12
207715,58.73
208027,58.14
208519,23.78
209409,35.27
209539,368.51
209601,109.48
209831,22.27
213097,88.45
213463,95.31
215113,22.0
219503,32.26
230213,150.91
231093,79.52
235255,704.75
241977,172.68
242051,352.75
242699,135.46
244707,276.0
244919,149.73
245017,150.41
245283,147.26
247407,149.4
247591,114.35
250561,33.33
251705,45.42
254411,86.4
256251,295.16
260835,203.49
260883,169.79
264565,540.3
265011,53.23
273931,247.04
276971,41.79
278623,96.42
279029,193.64
279455,130.69
279501,93.24
288321,226.27
288739,197.63
292769,127.5
298609,12.14
299295,17.24
308871,238.5
310563,122.72
315497,736.1
322709,62.24
326743,61.65
327141,111.16
341291,100.75
341385,164.7
341511,146.63
341611,104.51
341621,192.26
342155,125.71
344031,233.75
350437,258.86
355055,113.05
355997,201.61
360115,55.79
363743,163.36
363759,383.26
364029,180.03
373669,104.31
384955,69.8
385199,33.95
385241,19.85
385305,38.82
385395,92.0
385419,33.0
385489,50.99
395231,324.45
395239,172.97
396353,9.9
396405,502.6
396435,508.5
396519,149.81
396543,210.68
396631,608.0
396855,384.1
397299,133.03
397423,67.0
397591,90.32
397887,39.76
398979,99.37
399123,53.73
399175,115.93
399193,96.94
131,123.51
191,313.65
297,516.8
335,69.09
555,215.16
1035,103.14
1535,132.28
1579,138.66
2171,113.9
2323,67.93
3367,227.35
13713,322.05
15739,317.16
16277,185.0
16647,101.89
17131,53.95
17803,288.02
19653,234.26
20149,174.71
20833,84.4
21141,59.36
22091,50.0
24239,173.0
24265,373.95
25085,139.45
26793,344.53
26845,43.99
27035,106.0
27103,6.28
27289,128.3
27487,129.12
28153,112.73
28785,90.45
28799,137.86
28877,134.01
29085,160.36
31911,183.28
31913,537.45
32031,467.76
32069,99.45
32305,202.41
32423,10.16
36829,258.99
36923,342.55
37339,418.0
38685,201.61
41033,357.59
41109,192.01
42753,126.18
44891,53.13
44971,124.3
45703,78.49
45763,304.41
46851,431.91
46901,154.34
46971,77.49
49797,133.38
57077,28.59
58069,202.41
60149,58.22
60179,222.04
60399,111.65
60429,175.95
60755,394.45
60987,266.08
61101,71.21
61583,432.7
67379,216.24
71909,30.52
73295,34.26
74053,174.89
74479,81.98
76019,155.7
76759,92.07
77569,59.99
79695,191.69
80381,80.75
81409,267.67
81485,242.25
82671,84.97
84909,358.6
88383,23.45
88597,187.69
88621,516.02
88651,5.14
88705,420.27
88911,331.2
90031,242.68
90057,166.11
90061,202.4
90363,79.29
90451,543.06
91993,234.46
92477,294.95
93301,241.57
95295,117.81
95503,46.15
95509,168.94
95513,129.57
95711,117.39
98789,72.6
99803,76.58
101503,402.12
102757,250.18
102841,42.24
103123,135.47
103237,286.88
103349,52.59
104573,63.75
106841,387.2
107293,99.94
107921,230.49
108015,163.2
108257,238.26
108629,32.83
109323,409.0
113315,90.69
115633,152.2
118163,323.0
118223,148.45
118231,60.83
118501,58.9
120055,220.66
120245,248.46
120265,1162.8
121867,437.49
